Name,ID,Condition,Trial,Reward,Location 1,Location 2,Size,Peek,Choice,Reward
Pasa,2,test,10,B,1,3,location 1 big,lp,no,nothing
Pasa,2,test,11,C,5,4,location 1 big,lp,yes,big
Pasa,2,test,12,B,4,5,location 1 big,lp,no,nothing
Pasa,2,control,1,B,4,5,big,lp,yes,big
Pasa,2,control,2,C,3,2,small,lp,yes,small
Pasa,2,control,3,B,4,3,small,lp,yes,small
Pasa,2,control,4,C,2,4,big,lp,yes,big
Pasa,2,control,5,B,1,3,big,lp,yes,big
Pasa,2,control,6,C,5,4,small,lp,yes,small
Pasa,2,control,7,B,4,3,small,lp,yes,small
Pasa,2,control,8,C,2,4,big,lp,yes,big
Pasa,2,control,9,C,3,2,small,lp,yes,small
Pasa,2,control,10,B,1,3,big,lp,yes,big
Pasa,2,control,11,C,5,4,small,lp,yes,small
Pasa,2,control,12,B,4,5,big,lp,yes,big
Nkhumwa,3,test,1,B,4,5,location 1 big,lp,no,small
Nkhumwa,3,test,2,C,3,2,location 1 big,hp,yes,big
Nkhumwa,3,test,3,B,4,3,location 1 big,hp,yes,big
Nkhumwa,3,test,4,C,2,4,location 1 big,hp,no,small
Nkhumwa,3,test,5,B,1,3,location 1 big,hp,no,small
Nkhumwa,3,test,6,C,5,4,location 1 big,lp,yes,big
Nkhumwa,3,test,7,B,4,3,location 1 big,lp,no,small
Nkhumwa,3,test,8,C,2,4,location 1 big,lp,yes,big
Nkhumwa,3,test,9,C,3,2,location 1 big,hp,yes,big
Nkhumwa,3,test,10,B,1,3,location 1 big,hp,yes,big
Nkhumwa,3,test,11,C,5,4,location 1 big,lp,yes,big
Nkhumwa,3,test,12,B,4,5,location 1 big,lp,no,small
Nkhumwa,3,control,1,B,4,5,big,lp,yes,big
Nkhumwa,3,control,2,C,3,2,small,lp,yes,small
Nkhumwa,3,control,3,B,4,3,small,lp,yes,small
Nkhumwa,3,control,4,C,2,4,big,lp,yes,big
Nkhumwa,3,control,5,B,1,3,big,lp,yes,big
Nkhumwa,3,control,6,C,5,4,small,lp,yes,small
Nkhumwa,3,control,7,B,4,3,small,hp,yes,small
Nkhumwa,3,control,8,C,2,4,big,hp,yes,big
Nkhumwa,3,control,9,C,3,2,small,lp,no,nothing
Nkhumwa,3,control,10,B,1,3,big,lp,yes,big
Nkhumwa,3,control,11,C,5,4,small,lp,yes,small
Nkhumwa,3,control,12,B,4,5,big,lp,no,big
Nani,4,control,1,B,1,2,big,lp,yes,big
Nani,4,control,2,C,3,4,small,hp,yes,small
Nani,4,control,3,B,5,3,small,lp,yes,small
Nani,4,control,4,C,4,5,big,hp,yes,big
Nani,4,control,5,C,2,1,small,hp,no,nothing
Nani,4,control,6,B,5,4,big,lp,yes,big
Nani,4,control,7,B,2,1,small,hp,yes,small
Nani,4,control,8,C,5,3,big,lp,yes,big
Nani,4,control,9,C,1,2,small,hp,yes,small
Nani,4,control,10,B,5,4,big,lp,yes,big
Nani,4,control,11,B,4,5,big,hp,yes,big
Nani,4,control,12,C,3,4,small,hp,yes,small
Nani,4,test,1,B,1,2,location 1 big,hp,yes,big
Nani,4,test,2,C,3,4,location 1 big,lp,yes,big
Nani,4,test,3,B,5,3,location 1 big,hp,yes,big
Nani,4,test,4,C,4,5,location 1 big,lp,yes,big
Nani,4,test,5,C,2,1,location 1 big,hp,yes,big
Nani,4,test,6,B,5,4,location 1 big,hp,yes,big
Nani,4,test,7,B,2,1,location 1 big,hp,yes,big
Nani,4,test,8,C,5,3,location 1 big,hp,no,small
Nani,4,test,9,C,1,2,location 1 big,hp,no,small
Nani,4,test,10,B,5,4,location 1 big,hp,yes,big
Nani,4,test,11,B,4,5,location 1 big,hp,yes,big
Nani,4,test,12,C,3,4,location 1 big,hp,yes,big
Rototo,5,control,1,B,4,5,big,hp,yes,big
Rototo,5,control,2,C,3,2,small,hp,yes,small
Rototo,5,control,3,B,4,3,small,hp,yes,small
Rototo,5,control,4,C,2,4,big,hp,yes,big
Rototo,5,control,5,B,1,3,big,hp,no,nothing
Rototo,5,control,6,C,5,4,small,hp,yes,small
Rototo,5,control,7,C,2,1,small,hp,yes,small
Rototo,5,control,8,B,1,3,big,hp,yes,big
Rototo,5,control,9,C,4,2,small,hp,no,nothing
Rototo,5,control,10,B,5,4,big,hp,yes,big
Rototo,5,control,11,B,4,3,small,lp,yes,small
Rototo,5,control,12,C,3,5,big,hp,no,big
Rototo,5,test,1,B,4,5,location 1 big,hp,yes,big
Rototo,5,test,2,C,3,2,location 1 big,hp,yes,big
Rototo,5,test,3,B,4,3,location 1 big,hp,yes,big
Rototo,5,test,4,C,2,4,location 1 big,hp,yes,big
Rototo,5,test,5,B,1,3,location 1 big,hp,no,nothing
Rototo,5,test,6,C,5,4,location 1 big,hp,no,small
Rototo,5,test,7,C,2,1,location 1 big,hp,yes,big
Rototo,5,test,8,B,1,3,location 1 big,hp,yes,big
Rototo,5,test,9,C,4,2,location 1 big,hp,yes,big
Rototo,5,test,10,B,5,4,location 1 big,hp,yes,big
Rototo,5,test,11,B,4,3,location 1 big,hp,yes,big
Rototo,5,test,12,C,3,5,location 1 big,hp,no,small
Medina,6,control,1,C,3,4,small,hp,yes,small
Medina,6,control,2,B,1,2,big,hp,yes,big
Medina,6,control,3,B,5,3,small,lp,yes,small
Medina,6,control,4,C,4,5,big,hp,yes,big
Medina,6,control,5,B,5,4,big,lp,yes,big
Medina,6,control,6,C,2,1,small,lp,yes,small
Medina,6,control,7,C,4,5,big,lp,yes,big
Medina,6,control,8,B,5,3,small,lp,yes,small
Medina,6,control,9,C,4,3,small,lp,yes,small
Medina,6,control,10,B,5,4,big,lp,yes,big
Medina,6,control,11,C,2,1,small,lp,yes,small
Medina,6,control,12,B,1,2,big,lp,yes,big
Medina,6,test,1,C,3,4,location 1 big,hp,yes,big
Medina,6,test,2,B,1,2,location 1 big,hp,yes,big
Medina,6,test,3,B,5,3,location 1 big,hp,yes,big
Medina,6,test,4,C,4,5,location 1 big,hp,yes,big
Medina,6,test,5,B,5,4,location 1 big,lp,no,small
Medina,6,test,6,C,2,1,location 1 big,hp,yes,big
Medina,6,test,7,C,4,5,location 1 big,hp,yes,big
Medina,6,test,8,B,5,3,location 1 big,lp,yes,big
Medina,6,test,9,C,4,3,location 1 big,hp,yes,big
Medina,6,test,10,B,5,4,location 1 big,hp,yes,big
Medina,6,test,11,C,2,1,location 1 big,hp,yes,big
Medina,6,test,12,B,1,2,location 1 big,hp,yes,big
Namukhisa,7,test,1,B,1,2,location 1 big,hp,yes,big
Namukhisa,7,test,2,C,3,4,location 1 big,lp,no,small
Namukhisa,7,test,3,B,5,3,location 1 big,hp,no,nothing
Namukhisa,7,test,4,C,4,5,location 1 big,hp,yes,big
Namukhisa,7,test,5,C,2,1,location 1 big,hp,yes,big
Namukhisa,7,test,6,B,5,4,location 1 big,hp,yes,big
Namukhisa,7,test,7,B,2,1,location 1 big,hp,yes,big
Namukhisa,7,test,8,C,5,3,location 1 big,hp,yes,big
Namukhisa,7,test,9,C,1,2,location 1 big,hp,no,small
Namukhisa,7,test,10,B,5,4,location 1 big,hp,yes,big
Namukhisa,7,test,11,B,4,5,location 1 big,hp,no,small
Namukhisa,7,test,12,C,3,4,location 1 big,hp,yes,big
Namukhisa,7,control,1,B,1,2,small,lp,yes,small
Namukhisa,7,control,2,C,3,4,big,hp,yes,big
Namukhisa,7,control,3,B,5,3,big,hp,yes,big
Namukhisa,7,control,4,C,4,5,small,hp,yes,small
Namukhisa,7,control,5,C,2,1,small,lp,yes,small
Namukhisa,7,control,6,B,5,4,big,hp,yes,big
Namukhisa,7,control,7,B,2,1,big,lp,yes,big
Namukhisa,7,control,8,C,5,3,small,hp,yes,small
Namukhisa,7,control,9,C,1,2,big,lp,yes,big
Namukhisa,7,control,10,B,5,4,small,lp,yes,small
Namukhisa,7,control,11,B,4,5,big,hp,yes,big
Namukhisa,7,control,12,C,3,4,small,lp,yes,small
Baluku,8,control,1,B,4,5,big,lp,yes,big
Baluku,8,control,2,C,3,2,small,lp,no,nothing
Baluku,8,control,3,B,4,3,small,lp,yes,small
Baluku,8,control,4,C,2,4,big,lp,yes,big
Baluku,8,control,5,B,1,3,big,lp,yes,big
Baluku,8,control,6,C,5,4,small,lp,yes,small
Baluku,8,control,7,B,4,3,small,lp,yes,small
Baluku,8,control,8,C,2,4,big,lp,yes,big
Baluku,8,control,9,C,3,2,small,lp,yes,small
Baluku,8,control,10,B,1,3,big,lp,yes,big
Baluku,8,control,11,C,5,4,small,lp,yes,small
Baluku,8,control,12,B,4,5,big,lp,yes,big
Baluku,8,test,1,B,4,5,location 1 big,lp,yes,big
Baluku,8,test,2,C,3,2,location 1 big,lp,no,small
Baluku,8,test,3,B,4,3,location 1 big,lp,yes,big
Baluku,8,test,4,C,2,4,location 1 big,lp,yes,big
Baluku,8,test,5,B,1,3,location 1 big,lp,no,small
Baluku,8,test,6,C,5,4,location 1 big,lp,no,small
Baluku,8,test,7,B,4,3,location 1 big,lp,yes,big
Baluku,8,test,8,C,2,4,location 1 big,lp,no,small
Baluku,8,test,9,C,3,2,location 1 big,lp,yes,big
Baluku,8,test,10,B,1,3,location 1 big,lp,yes,big
Baluku,8,test,11,C,5,4,location 1 big,lp,no,small
Baluku,8,test,12,B,4,5,location 1 big,lp,no,small
Rambo,9,test,1,B,1,2,location 1 big,hp,yes,big
Rambo,9,test,2,C,3,4,location 1 big,lp,no,small
Rambo,9,test,3,B,5,3,location 1 big,lp,no,small
Rambo,9,test,4,C,4,5,location 1 big,hp,yes,big
Rambo,9,test,5,C,2,1,location 1 big,lp,yes,big
Rambo,9,test,6,B,5,4,location 1 big,hp,yes,big
Rambo,9,test,7,B,2,1,location 1 big,hp,yes,big
Rambo,9,test,8,C,5,3,location 1 big,hp,yes,big
Rambo,9,test,9,C,1,2,location 1 big,hp,no,small
Rambo,9,test,10,B,5,4,location 1 big,hp,yes,big
Rambo,9,test,11,B,4,5,location 1 big,hp,no,small
Rambo,9,test,12,C,3,4,location 1 big,hp,yes,big
Rambo,9,control,1,B,1,2,small,hp,yes,small
Rambo,9,control,2,C,3,4,big,lp,yes,big
Rambo,9,control,3,B,5,3,big,hp,yes,big
Rambo,9,control,4,C,4,5,small,hp,yes,small
Rambo,9,control,5,C,2,1,small,hp,yes,small
Rambo,9,control,6,B,5,4,big,lp,yes,big
Rambo,9,control,7,B,2,1,big,hp,yes,big
Rambo,9,control,8,C,5,3,small,hp,yes,small
Rambo,9,control,9,C,1,2,big,hp,yes,big
Rambo,9,control,10,B,5,4,small,hp,yes,small
Rambo,9,control,11,B,4,5,big,lp,yes,big
Rambo,9,control,12,C,3,4,small,lp,yes,small
Yoyo,10,test,1,C,5,3,location 1 big,lp,no,nothing
Yoyo,10,test,2,B,3,1,location 1 big,lp,no,small
Yoyo,10,test,3,C,1,2,location 1 big,lp,no,nothing
Yoyo,10,test,4,B,4,5,location 1 big,lp,no,small
Yoyo,10,test,5,B,2,4,location 1 big,lp,no,small
Yoyo,10,test,6,C,3,2,location 1 big,lp,yes,big
Yoyo,10,test,7,C,2,1,location 1 big,lp,no,small
Yoyo,10,test,8,B,1,3,location 1 big,lp,no,small
Yoyo,10,test,9,C,4,2,location 1 big,lp,yes,big
Yoyo,10,test,10,B,5,4,location 1 big,lp,no,small
Yoyo,10,test,11,B,4,3,location 1 big,lp,no,small
Yoyo,10,test,12,C,3,5,location 1 big,lp,yes,big
Yoyo,10,control,1,C,3,5,big,lp,yes,big
Yoyo,10,control,2,B,4,2,small,lp,yes,small
Yoyo,10,control,3,C,2,1,small,lp,yes,small
Yoyo,10,control,4,B,1,3,big,lp,yes,big
Yoyo,10,control,5,B,5,4,big,lp,yes,big
Yoyo,10,control,6,C,4,3,small,lp,yes,small
Yoyo,10,control,7,C,2,1,small,lp,yes,small
Yoyo,10,control,8,B,1,3,big,lp,yes,big
Yoyo,10,control,9,C,4,2,small,lp,yes,small
Yoyo,10,control,10,B,5,4,big,lp,yes,big
Yoyo,10,control,11,B,4,3,small,lp,yes,small
Yoyo,10,control,12,C,3,5,big,lp,yes,big
Nakuu,11,control,1,C,4,5,big,lp,yes,big
Nakuu,11,control,2,B,5,3,small,lp,yes,small
Nakuu,11,control,3,C,4,3,small,lp,yes,small
Nakuu,11,control,4,B,5,4,big,lp,yes,big
Nakuu,11,control,5,C,2,1,small,lp,yes,small
Nakuu,11,control,6,B,1,2,big,lp,no,nothing
Nakuu,11,control,7,C,3,4,small,lp,yes,small
Nakuu,11,control,8,B,1,2,big,hp,yes,big
Nakuu,11,control,9,B,5,3,small,lp,yes,small
Nakuu,11,control,10,C,4,5,big,lp,yes,big
Nakuu,11,control,11,B,5,4,big,lp,yes,big
Nakuu,11,control,12,C,2,1,small,lp,yes,small
Nakuu,11,test,1,C,4,5,location 1 big,lp,no,small
Nakuu,11,test,2,B,5,3,location 1 big,lp,yes,big
Nakuu,11,test,3,C,4,3,location 1 big,lp,yes,big
Nakuu,11,test,4,B,5,4,location 1 big,lp,yes,big
Nakuu,11,test,5,C,2,1,location 1 big,lp,no,nothing
Nakuu,11,test,6,B,1,2,location 1 big,lp,no,nothing
Nakuu,11,test,7,C,3,4,location 1 big,hp,no,small
Nakuu,11,test,8,B,1,2,location 1 big,lp,no,small
Nakuu,11,test,9,B,5,3,location 1 big,hp,yes,big
Nakuu,11,test,10,C,4,5,location 1 big,lp,yes,big
Nakuu,11,test,11,B,5,4,location 1 big,lp,no,small
Nakuu,11,test,12,C,2,1,location 1 big,lp,no,nothing
Minnie,12,test,1,C,4,5,location 1 big,hp,yes,big
Minnie,12,test,2,B,5,3,location 1 big,hp,yes,big
Minnie,12,test,3,C,4,3,location 1 big,lp,no,small
Minnie,12,test,4,B,5,4,location 1 big,lp,no,small
Minnie,12,test,5,C,2,1,location 1 big,lp,no,big
Minnie,12,test,6,B,1,2,location 1 big,hp,no,big
Minnie,12,test,7,C,3,4,location 1 big,hp,yes,big
Minnie,12,test,8,B,1,2,location 1 big,hp,yes,big
Minnie,12,test,9,B,5,3,location 1 big,hp,no,small
Minnie,12,test,10,C,4,5,location 1 big,lp,yes,big
Minnie,12,test,11,B,5,4,location 1 big,hp,yes,big
Minnie,12,test,12,C,2,1,location 1 big,lp,no,small
Minnie,12,control,1,C,4,5,small,lp,yes,small
Minnie,12,control,2,B,5,3,big,hp,yes,big
Minnie,12,control,3,C,4,3,big,lp,yes,big
Minnie,12,control,4,B,5,4,small,lp,yes,small
Minnie,12,control,5,C,2,1,small,hp,yes,small
Minnie,12,control,6,B,1,2,big,lp,no,nothing
Minnie,12,control,7,C,3,4,big,hp,yes,big
Minnie,12,control,8,B,1,2,small,lp,yes,small
Minnie,12,control,9,B,5,3,big,lp,yes,big
Minnie,12,control,10,C,4,5,small,lp,yes,small
Minnie,12,control,11,B,5,4,big,lp,yes,big
Minnie,12,control,12,C,2,1,small,lp,yes,small
